State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,13:00,1/10/16,20:00,6.7,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,14:00,1/10/16,21:00,4.9,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,15:00,1/10/16,22:00,4.4,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,16:00,1/10/16,23:00,4,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,17:00,1/11/16,0:00,5.2,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,18:00,1/11/16,1:00,5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,19:00,1/11/16,2:00,5.6,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,20:00,1/11/16,3:00,4.2,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,21:00,1/11/16,4:00,3.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,22:00,1/11/16,5:00,3.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,23:00,1/11/16,6:00,3.6,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/11/16,0:00,1/11/16,7:00,4.2,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
